trace,N,S,IPC
0,1,8,0.9996
0,1,16,0.9996
0,1,32,0.9996
0,1,64,0.9996
0,1,128,0.9996
0,1,256,0.9996
0,2,8,1.95771
0,2,16,1.9976
0,2,32,1.9976
0,2,64,1.9976
0,2,128,1.9976
0,2,256,1.9976
0,4,8,2.73
0,4,16,3.7594
0,4,32,3.98406
0,4,64,3.98406
0,4,128,3.98406
0,4,256,3.98406
0,8,8,2.82008
0,8,16,4.57247
0,8,32,6.72495
0,8,64,7.85546
0,8,128,7.88644
0,8,256,7.88644
1,1,8,0.9991
1,1,16,0.9992
1,1,32,0.9992
1,1,64,0.9992
1,1,128,0.9992
1,1,256,0.9992
1,2,8,1.81127
1,2,16,1.9755
1,2,32,1.99481
1,2,64,1.99561
1,2,128,1.99561
1,2,256,1.99561
1,4,8,2.20022
1,4,16,3.06091
1,4,32,3.83289
1,4,64,3.95413
1,4,128,3.97931
1,4,256,3.97931
1,8,8,2.27635
1,8,16,3.39443
1,8,32,5.28821
1,8,64,7.23589
1,8,128,7.75194
1,8,256,7.87402
